"Make & Model
",Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","0–1/4 mile, sec.","0–1/4 mile, mph",Braking 60–0 mph (feet),Power to Weight,"Rating Category
Overall Rating",,,,dimensions,15
Rebel 250,5/96,$3995,I-2,5,16.1,12.4,320,62.6,70,11.86,n/.a,17.86,68.55,115.9,1:19.88,Lightweight Cruiser,,,,,
CB500FA,8/13,$5499,I-2,6,45.8,30.8,423,52.8,106.9,6.03,n/.a,14.32,90.74,132.8,1:9.24,Middleweight Standard,,,,,
CB500X,11/13,$5999,I-2,6,45.8,30.8,427,57.2,101.25,5.74,n/.a,14.03,91.81,123.8,1:9.98,Middleweight Standard,,,,,
Shadow VLX600,5/99,$5499,V-2,4,30.7,32.5,484,40.0,90,8.34,n/.a,16.11,79.81,121.6,1:15.77,Middleweight Cruiser,,,,,
599,3/04,$7099,I-4,6,80.4,41.7,446,47.7,136,3.71,8.64,11.57,115.51,116.5,1:5.55,Middleweight Standard,,,,,
CBR600F3,5/97,$7799,I-4,6,90.2,43.0,460,39.3,153,3.36,7.40,11.03,124.26,114.5,1:5.10,Middleweight Sportbike,,,,,
CBR600F4 ’99,2/99,$7899,I-4,6,94.1,42.9,435,39.7,156,3.46,7.71,11.19,122.78,115.5,1:4.62,Middleweight Sportbike,,,,,
CBR600F4i ’01,3/01,$8199,I-4,6,96.6,43.6,436,40.7,155,2.89,6.61,10.59,128.23,111.3,1:4.51,Middleweight Sportbike,,,,,
CBR600F4i ’06,12/05,$8499,I-4,6,90.1,40.3,440,36.7,156,3.52,7.94,11.26,121.56,123.5,1:4.88,Middleweight Sportbike,,,,,
CBR600RR C-ABS,7/09,"$10,799",I-4,6,99.61,43.01,435,43.1,158.3,3.18,7.03,10.89,125.53,126.0,1:4.36,Middleweight Sportbike,,,,,
XR650L,10/07,$5949,1,5,33.3,31.1,349,47.7,98,5.83,n/.a,14.33,89.05,132.1,1:10.48,Middleweight Dual-Sport,,,,,
DN-01,6/09,"$15,499",V-2,HFT,43.15,33.6,602.5,42.3,113.1,7.41,n/.a,15.41,87.42,124.0,1:13.91,Middleweight Cruiser,,,,,
NC700X,12/12,$6999,I-2,6,47.51,42.57,474,60.4,102.5,5.70,n/.a,14.17,88.41,115.8,1:9.98,Middleweight Standard,,,,,
NC700X DCT ABS,10/13,$8499,I-2,6,47.51,42.57,487.5,54.7,102.5,5.98,n/.a,14.45,87.67,124.9,1:10.26,Middleweight Standard,,,,,
NT700V ABS,3/10,"$10,999",V-2,5,53.42,40.28,586,46.4,118.3,5.36,18.19,13.73,95.20,125.5,1:10.97,Middleweight Standard,,,,,
Shadow ACE 750,9/97,$6299,V-2,5,36.9,41.5,542,44.8,99,6.83,n/.a,15.03,84.05,117.9,1:14.69,Middleweight Cruiser,,,,,
Shadow Aero 750,1/04,$6199,V-2,5,35.4,42.0,553,45.5,102,7.31,n/.a,15.23,85.67,120.0,1:15.62,Middleweight Cruiser,,,,,
Nighthawk 750,3/00,$5799,I-4,5,63.9,42.7,496,37.6,118,4.47,n/.a,12.74,103.14,130.4,1:7.76,Middleweight Standard,,,,,
Magna 750,7/99,$7799,V-4,5,76.3,46.5,550,33.5,120,4.37,11.77,12.49,105.65,116.5,1:7.21,Middleweight Cruiser,,,,,
Shadow RS,10/10,$7799,V-2,5,37.79,41.45,505.5,54.5,109.8,7.02,n/.a,15.32,82.58,124.89,1:13.38,Middleweight Cruiser,,,,,
Pacific Coast 800,7/97,$8699,V-2,5,45.6,41.0,620,49.3,108,6.09,n/.a,14.36,84.10,114.9,1:13.60,Middleweight Sport-Tourer,,,,,
VFR800FI Interceptor ’98,6/98,$9499,V-4,6,98.8,56.9,517,38.1,147,3.36,7.92,11.19,120.22,107.9,1:5.23,Middleweight Sportbike,,,,,
VFR800FI ABS ’02,3/02,"$10,999",V-4,6,93.7,52.9,554,38.8,143,3.36,7.88,11.21,120.12,119.5,1:5.91,Middleweight Sportbike,,,,,
CBR900RR,5/98,$9999,I-4,6,111.2,62.5,460,41.0,158,3.13,6.83,10.73,124.56,113.8,1:4.14,Open Sportbike,,,,,
919,6/02,$7999,I-4,6,96.4,62.6,481,37.5,143,3.22,7.27,10.79,123.54,112.1,1:4.99,Open Standard,,,,,
CBR929RR,5/00,$9999,I-4,6,123.8,64.9,438,39.2,165,2.88,6.63,10.12,135.86,113.6,1:3.54,Open Sportbike,,,,,
VTR1000F Super Hawk,4/97,$8999,V-2,6,98.2,64.9,472,30.7,150,3.32,7.27,10.98,124.36,112.7,1:4.81,Open Sportbike,,,,,
CB1000R,10/11,"$10,999",I-4,6,109.44,64.45,480,44.3,141.7,3.15,7.29,10.99,121.16,114.5,1:4.38,Open Standard,,,,,
CBR1000RR,11/04,"$10,999",I-4,6,136.1,71.4,463,41.0,177,3.19,5.90,10.26,139.82,114.4,1:3.40,Open Sportbike,,,,,
CBR1000RR,7/06,"$11,299",I-4,6,142.6,73.3,449,37.7,177,3.00,5.54,9.99,143.39,117.5,1:3.15,Open Sportbike,,,,,
CBR1000RR ’08,10/08,"$11,599",I-4,6,150.9,75.7,440,38.5,178,2.95,5.50,9.94,143.12,122.8,1:2.91,Open Sportbike,,,,,
RC51 ’00,10/00,$9999,V-2,6,117.4,71.4,488,34.1,164,3.05,6.65,10.61,129.76,116.2,1:4.16,Open Sportbike,,,,,
RC51 ’03,4/03,"$10,999",V-2,6,115.9,69.8,482,35.5,168,3.10,6.55,10.57,132.79,115.2,1:4.16,Open Sportbike,,,,,
CB1100,7/13,$9999,I-4,5,84.16,64.62,540,46.0,110*,4.58,10.73,12.52,110.16,136.0,1:6.41,Open Standard,,,,,
ST1100 ABSII,12/96,"$13,999",V-4,5,88.3,70.9,726,38.0,132,4.38,11.28,12.47,107.90,120.2,1:8.22,Open Sport-Tourer,,,,,
Shadow ACE Tourer ’98,8/97,"$10,999",V-2,5,53.4,64.9,653,41.1,100,5.76,n/.a,14.12,90.32,117.7,1:12.21,Heavyweight Cruiser,,,,,
VT1100C3 Shadow Aero,4/98,$9699,V-2,5,43.2,62.2,660,31.0,107,6.68,n/.a,14.88,86.25,118.8,1:15.28,Heavyweight Cruiser,,,,,
Shadow ACE Tourer ’99,3/99,$9999,V-2,5,53.4,64.9,652,36.0,100,5.76,n/.a,14.12,90.32,117.7,1:12.21,Heavyweight Cruiser,,,,,
Shadow Sabre,2/00,$8199,V-2,5,51.4,62.7,660,30.1,101,5.92,n/.a,14.26,88.12,126.2,1:12.84,Heavyweight Cruiser,,,,,
CBR1100XX ’97,4/97,"$11,499",I-4,6,132.9,76.4,555,41.7,170,2.91,6.06,10.24,134.52,112.4,1:4.18,Open Sportbike,,,,,
CBR1100XX ’99,4/99,"$10,999",I-4,6,134.4,80.0,563,40.5,174,2.91,5.99,10.24,136.98,115.3,1:4.19,Open Sportbike,,,,,
VFR1200F ABS,8/10,"$15,999",V-4,6,148.94,84.68,590.5,45.5,157,2.70,5.97,10.16,134.90,117.4,1:3.96,Open Sport-Tourer,,,,,
ST1300 ABS,3/03,"$14,499",V-4,5,106.1,81.6,727,43.7,144,3.49,8.62,11.47,116.16,124.3,1:6.85,Open Sport-Tourer,,,,,
VTX1300S,7/02,$8999,V-2,5,57.8,74.7,709,39.9,113,5.12,n/.a,13.50,95.64,122.0,1:12.27,Open Cruiser,,,,,
VTX1300R,3/07,$9699,V-2,5,60.0,74.5,759,39.0,104,5.84,n/.a,14.17,90.55,122.6,1:12.65,Touring Cruiser,,,,,
Fury,10/09,"$13,499",V-2,5,56.7,72.0,668,42.9,100.5,5.97,n/.a,14.24,91.22,121.2,1:11.75,Heavyweight Cruiser,,,,,
ST1300,12/07,"$14,499",V-4,5,108.5,82.3,732,37.9,142,3.49,8.76,11.45,116.19,126.4,1:6.75,Open Sport-Tourer,,,,,
F6 Valkyrie,7/96,"$12,499",O-6,5,100.0,102.3,721,37.3,131,3.86,9.96,12.02,110.70,107.4,1:7.21,Heavyweight Cruiser,,,,,
GL1500 Gold Wing SE ’97,12/97,"$17,699",O-6,5+R,75.6,87.7,910,32.6,120,5.26,n/.a,13.28,99.96,129.3,1:12.04,Luxury Tourer,,,,,
Valkyrie Tourer,3/99,"$14,199",O-6,5,93.2,92.5,776,32.9,118,4.12,12.41,12.52,103.90,114.8,1:8.33,Heavyweight Cruiser,,,,,
GL1500 Gold Wing SE ’99,4/99,"$17,499",O-6,5+R,79.7,91.2,912,32.2,120,5.26,n/.a,13.28,99.96,129.3,1:11.44,Luxury Tourer,,,,,
Valkyrie Interstate,4/99,"$14,199",O-6,5,94.9,92.8,833,30.7,118,4.37,n/.a,12.76,100.89,116.4,1:8.78,Luxury Tourer,,,,,
VTX1800,5/01,"$12,195",V-2,5,86.2,99.4,753,38.6,135,3.81,10.6,12.12,109.47,109.5,1:8.74,Heavyweight Cruiser,,,,,
GL1800 Gold Wing ’01,2/01,"$17,499",O-6,5+R,100.7,108.3,881,40.1,123,3.77,11.32,12.14,105.92,125.7,1:8.75,Luxury Tourer,,,,,
GL1800A Gold Wing ’04,10/04,"$18,999",O-6,5+R,96.0,104.1,881,40.1,130,4.35,12.92,12.71,102.90,121.1,1:9.18,Luxury Tourer,,,,,
GL1800 Gold Wing ’12,9/11,"$25,899",O-6,5+R,100.05,105.04,909.5,37.0,125.5,4.15,n/.a,12.70,100.89,127.4,1:9.09,Luxury Tourer,,,,,
Gold Wing F6B,6/13,"$19,999",O-6,5,100.1,105.24,852,37.0,124.3,3.86,10.73,12.1,108.08,125.2,1:8:51,Heavyweight Tourer,,,,,
Valkyrie Rune,10/03,"$24,499",O-6,5,97.4,112.1,877,37.4,123,3.77,11.32,12.14,105.92,125.7,1:9.00,Heavyweight Cruiser,,,,,
CSC Cobra Trike (Gold Wing),1/11,"$31,177",O-6,5+R,n/.a,n/.a,1331,29.8,102.2,6.35,n/.a,14.45,88.85,216.1,1:13.23,Heavyweight Trike,,,,,
Husqvarna TE449,5/11,$8699,1,6,30.4,23.3,289.5,47.7,87.2,6.1,n/.a,14.87,81.51,136.3,1:9.52,Middleweight Dual-Sport,,,,,
TE310,4/12,$8199,1,6,27.7,16.94,267.5,48.1,81.3,6.29,n/.a,14.90,81.32,134.0,1:9.66,Competition Dual-Sport,,,,,
TR650,1/13,$6999,1,5,47.89,38.29,405,46.1,101.5,4.57,15.27,13.01,99.02,122.3,1:8.46,Middleweight Dual-Sport,,,,,
Indian Scout,1/02,"$18,995",V-2,5,54.6,61.3,639,46.0,114,5.60,n/.a,13.74,97.44,132.4,1:11.70,Heavyweight Cruiser,,,,,
Chief Vintage,2/14,"$20,999",V-2,6,69.76,97.63,851,33.25,101.8,5.27,n/a,13.80,93.20,122.0,1:12.20,Heavyweight Cruiser,,,,,
Kawasaki KLX250S,12/09,$5299,1,6,18.46,12.71,293.5,52.4,83.4,12.34,n/.a,17.77,67.19,142.2,1:15.89,Lightweight Dual-Sport,,,,,
KLX250S ’13,1/13,$5099,1,6,18.46,12.71,297,53.9,75.14,9.17,n/.a,16.50,75.1,123.67,1:16.09,Lightweight Dual-Sport,,,,,
KLX250SF,2/09,$5299,1,6,20.22,13.85,304.5,53.4,83.8,8.81,n/.a,16.39,74.57,123.7,1:15.06,Lightweight Supermoto,,,,,
Ninja 250R ’08,6/08,$3499,I-2,6,26.4,13.6,374,51.2,95.5,7.72,n/.a,15.58,81.98,121.5,1:14.17,Lightweight Sportbike,,,,,
Ninja 250R ’11,4/11,$3999,I-2,6,26.09,13.32,382.5,45.7,97.7,7.89,n/.a,15.73,80.56,121.5,1:14.66,Lightweight Sportbike,,,,,
Ninja 300,12/12,$4799,I-2,6,34.77,17.45,385,54.1,106,6.41,n/.a,14.67,87.70,124.6,1:11.07,Lightweight Sportbike,,,,,
Ninja 500,7/04,$4799,I-2,6,49.9,30.9,438,64.0,110,4.49,n/.a,13.09,97.50,130.3,1:8.78,Middleweight Sportbike,,,,,
Eliminator 600,4/96,$6199,I-2,6,61.1,34.9,470,40.9,114,3.83,n/.a,12.50,102.30,128.6,1:7.69,Middleweight Cruiser,,,,,
ZX-6R ’97,5/97,$8299,I-4,6,89.2,44.6,465,35.0,154,3.26,7.34,10.97,124.72,114.9,1:5.21,Middleweight Sportbike,,,,,
ZX-6R ’99,6/99,$7999,I-4,6,94.5,43.4,446,38.0,156,3.13,7.19,10.89,125.04,117.6,1:4.72,Middleweight Sportbike,,,,,
ZX-6R ’01,3/01,$8099,I-4,6,96.2,44.2,435,41.4,154,3.02,6.79,10.69,126.68,114.9,1:4.52,Middleweight Sportbike,,,,,
ZZR600,12/05,$7299,I-4,6,89.7,42.7,441,36.1,156,3.42,7.80,11.19,121.96,119.4,1:4.92,Middleweight Sportbike,,,,,
ZX-6R ’05,9/05,$8600,I-4,6,103.5,45.1,424,41.7,164,3.06,6.87,10.78,127.12,118.9,1:4.09,Middleweight Sportbike,,,,,
ZX-6R ‘13,3/13,"$11,999",I-4,6,113.64,47.24,421,42.4,161.8,3.31,6.71,10.72,128.66,126.6,1:3.71,Middleweight Sportbike,,,,,
ER-6N,8/09,$6399,I-4,6,64.66,43.91,441.5,45.3,128.8,3.96,11.84,12.36,104.7,121.7,1:6.81,Middleweight Standard,,,,,
Ninja 650R ’06,3/06,$6299,I-2,6,61.0,42.7,438,65.3,126,3.16,10.53,11.17,106.04,119.3,1:7.18,Middleweight Standard,,,,,
Ninja 650R ’07,5/07,$6399,I-2,6,63.1,42.6,438,54.3,129,3.84,10.95,12.11,107.30,128.1,1:6.93,Middleweight Standard,,,,,
Ninja 650 ‘12,3/12,$7499,I-2,6,61.47,41.21,460,49.0,126.5,3.99,11.77,12.33,104.90,115.6,1:7.48,Middleweight Sportbike,,,,,
KLR650 ’06,5/06,$5199,1,5,34.0,33.3,409,45.4,98,6.04,n/.a,14.52,85.71,134.2,1:12.03,Middleweight Dual-Sport,,,,,
KLR650 ’08,7/07,$5349,1,5,36.1,32.7,428,48.2,93,5.88,n/.a,14.40,87.08,135.4,1:11.68,Middleweight Dual-Sport,,,,,
W650,6/00,$6499,I-2,5,43.4,36.6,470,46.8,103,5.20,n/.a,13.70,93.65,120.2,1:10.83,Middleweight Standard,,,,,
Versys 650,11/07,$6899,I-2,6,58.7,41.5,453,46.5,117,4.86,14.19,12.96,99.15,127.9,1:7.72,Middleweight Standard,,,,,
Versys 650 ‘12,6/12,$7899,I-2,6,57.5,40.76,460,51.4,111.4,4.17,n/.a,12.66,100.62,122.4,1:8,Middleweight Standard,,,,,
ZR-7,6/00,$5699,I-4,5,68.9,45.5,508,38.8,125,4.08,11.67,12.39,105.39,118.2,1:7.37,Middleweight Standard,,,,,
ZX-7R,9/96,$9399,I-4,6,104.0,52.4,518,37.2,155,3.44,7.69,11.17,122.27,111.7,1:4.98,Middleweight Sportbike,,,,,
Z750S,5/05,$7099,I-4,6,93.9,51.6,489,51.4,146,3.35,8.20,11.41,116.84,117.4,1:5.20,Middleweight Standard,,,,,
Vulcan 800 Drifter,1/02,$7499,V-2,5,47.2,41.4,597,39.7,108,5.88,n/.a,14.16,92.20,123.2,1:12.65,Middleweight Cruiser,,,,,
ZX-9R ’98,5/98,$9999,I-4,6,124.5,65.5,477,39.1,170,3.02,6.10,10.28,135.32,116.9,1:3.83,Open Sportbike,,,,,
ZX-9R ’02,12/02,$9499,I-4,6,121.2,66.4,470,41.8,168,3.04,5.98,10.33,134.93,117.1,1:3.88,Open Sportbike,,,,,
Vulcan 900 Custom,2/07,$7349,V-2,5,44.3,51.7,600,47.9,105,5.92,n/.a,14.19,89.57,129.8,1:13.55,Middleweight Cruiser,,,,,
ZR1000-A1,6/03,$8499,I-4,6,115.8,64.8,490,36.9,153,3.03,6.44,10.52,131.77,113.7,1:4.23,Open Standard,,,,,
Concours ’97,12/96,$9299,I-4,6,88.4,63.3,618,34.9,126,3.85,10.61,12.10,108.06,125.7,1:6.99,Open Sport-Tourer,,,,,
Ninja 1000,1/11,"$10,999",I-4,6,122.48,72.68,498,41.4,152.8,2.91,6.28,10.50,129.11,116.5,1:4.07,Open Sport-Tourer,,,,,
Ninja 1000 ABS,1/14,"$11,999",I-4,6,126.5,74.9,512.5,41.6,149.29,3.01,6.28,10.49,130.38,124.2,1:4.05,Open Sport-Tourer,,,,,
ZG1000A20 Concours ’05,2/05,$8299,I-4,6,91.0,64.5,672,39.4,127,3.85,10.41,12.01,108.93,122.0,1:7.38,Open Sport-Tourer,,,,,
ZX-10R,11/04,"$10,999",I-4,6,148.2,76.1,432,42.0,184,3.12,5.65,10.02,145.58,115.5,1:2.91,Open Sportbike,,,,,
Z1000,8/07,$8649,I-4,6,110.0,67.0,509,40.7,155,3.36,7.83,11.20,119.34,117.3,1:4.62,Open Standard,,,,,
Z1000,3/10,"$10,499",I-4,6,123.17,73.74,480,37.2,149.3,3.05,6.45,10.64,126.63,110.3,1:3.89,Open Standard,,,,,
ZX-11,4/97,"$10,599",I-4,6,133.0,78.8,603,42.7,169,2.95,6.30,10.43,131.39,118.6,1:4.60,Open Sportbike,,,,,
ZRX1100,11/00,$7399,I-4,5,94.9,69.3,546,35.0,144,3.16,7.28,10.91,122.49,117.1,1:5.75,Open Sportbike,,,,,
ZRX-1200R,6/01,$7899,I-4,5,111.7,80.7,535,46.8,147,3.00,7.15,10.85,121.13,117.6,1:4.79,Open Standard,,,,,
ZZR-1200,7/02,"$10,499",I-4,6,131.3,79.1,602,39.4,167,2.96,6.18,10.39,133.76,122.8,1:4.58,Open Sportbike,,,,,
Voyager XII ’97,12/97,"$12,399",I-4,5,78.6,71.6,810,35.6,113,4.72,n/.a,13.14,97.70,131.7,1:10.30,Luxury Tourer,,,,,
Voyager XII ’99,4/99,"$11,999",I-4,5,81.1,72.2,810,35.5,113,4.72,n/.a,13.14,97.70,131.7,1:9.99,Luxury Tourer,,,,,
ZX-12R,5/02,"$10,999",I-4,6,161.2,91.2,545,32.1,186,2.91,5.49,9.90,143.59,110.9,1:3.38,Open Sportbike,,,,,
Ninja ZX-14 ’06,7/06,"$11,499",I-4,6,163.3,100.6,560,35.6,186,2.90,5.41,9.89,143.76,117.5,1:3.43,Open Sportbike,,,,,
Ninja ZX-14 ’08,2/08,"$11,699",I-4,6,163.1,101.6,563,35.2,186,2.78,5.35,9.83,143.44,119.8,1:3.45,Open Sportbike,,,,,
Ninja ZX-14R,7/12,"$14,699",I-4,6,189.34,112.09,584,32.9,186,2.77,5.08,9.62,149.00,116.03,1:3.09,Open Sportbike,,,,,
Concours 14,12/07,"$12,899",I-4,6,136.1,90.8,685,37.2,157,3.01,6.79,10.68,127.03,121.9,1:5.02,Open Sport-Tourer,,,,,
Concours 14 ABS,8/10,"$15,299",I-4,6,135.57,89.99,689.5,43.3,152.3,3.14,7.10,10.82,119.51,123.0,1:5.09,Open Sport-Tourer,,,,,
Concours 14 ABS ‘11,2/12,"$15,599",I-4,6,135.61,91.44,695.5,37.4,152.8,2.91,6.56,10.56,127.68,127.8,1:5.12,Open Sport-Tourer,,,,,
Vulcan 1500 Drifter,7/00,"$11,499",V-2,5,54.6,100.1,741,34.5,99,5.53,n/.a,13.94,92.60,122.3,1:13.57,Heavyweight Cruiser,,,,,
Vulcan 1500 Classic ’96,8/96,"$10,499",V-2,4,44.1,67.9,683,37.1,100,6.64,n/.a,14.88,83.24,123.5,1:15.49,Heavyweight Cruiser,,,,,
Vulcan 1500 Classic FI,8/00,"$10,799",V-2,5,54.0,73.5,720,36.6,107,5.25,n/.a,13.63,94.82,110.8,1:13.33,Heavyweight Cruiser,,,,,
Vulcan 1500 Nomad,3/99,"$11,999",V-2,5,49.0,68.1,775,34.5,93,6.78,n/.a,14.99,84.37,132.9,1:15.82,Heavyweight Cruiser,,,,,
Vulcan Mean Streak,10/01,"$10,999",V-2,5,62.7,75.6,695,35.2,120,5.04,n/.a,13.29,99.52,109.9,1:11.08,Heavyweight Cruiser,,,,,
Vulcan 1600 Classic,7/03,"$10,499",V-2,5,55.4,81.5,744,38.7,110,5.29,n/.a,13.65,94.33,122.4,1:13.43,Heavyweight Cruiser,,,,,
Vulcan 1700 Vaquero,6/11,"$16,499",V-2,6,65.80,80.93,834.5,35.3,114.0,5.40,n/.a,13.83,87.11,123.51,1:12.68,Heavyweight Cruiser,,,,,
Vulcan 2000,4/04,"$14,499",V-2,5,90.0,116.9,818,41.3,134,3.95,10.80,12.15,106.70,119.4,1:9.09,Heavyweight Cruiser,,,,,
KTM 350 EXC-F,8/12,$9499,1,6,39.32,23.56,262.5,54.7,92.5,5.40,8.01,13.88,91.60,162.9,1:6.68,Middleweight Dual-Sport,,,,,
690 Duke,10/10,"$10,598",1,6,59.71,45.96,354,49.7,116.9,3.93,n/.a,12.35,101.96,128.9,1:5.93,Middleweight Standard,,,,,
690 Duke ‘13,5/13,$8999,1,6,61.97,46.58,353.5,57.7,119.5,3.73,11.06,12.05,106.47,117.5,1:5:70,Middleweight Standard,,,,,
690 Enduro R,7/10,"$10,298",1,6,46.21,35.65,336.5,45.6,107.5,4.56,16.78,13.12,96.33,144.2,1:7.26,Middleweight Dual-Sport,,,,,
990 Super Duke,9/09,"$14,398",V-2,6,106.51,67.73,443,38.1,140,3.35,7.64,11.17,118.75,126.0,1:4.16,Open Standard,,,,,
950 Adventure,9/04,"$11,998",V-2,6,85.2,60.4,498,37.3,139,3.22,8.00,11.18,118.05,128.5,1:5.85,Open Adventure-Tourer,,,,,
950SM,5/06,"$12,998",V-2,6,92.2,62.6,455,37.1,137,3.60,8.26,11.45,116.58,118.5,1:4.93,Open Supermoto,,,,,
990 Adventure,9/08,"$14,398",V-2,6,85.4,61.1,520,45.4,156,3.45,9.13,11.60,112.27,125.0,1:6.09,Open Adventure-Tourer,,,,,
990 Adventure R,10/12,"$14,999",V-2,6,101.08,64.52,502,37.5,138.1,3.53,9.28,11.70,111.86,127.7,1:4.97,Open Adventure-Tourer,,,,,
990 SMT,9/10,"$13,998",V-2,6,106.8,66.3,476.5,37.7,139,3.32,7.62,11.15,118.71,115.1,1:4.42,Supermoto-Tourer,,,,,
Kymco Venox 250,1/06,$4299,V-2,5,22.0,12.5,435,49.2,87,11.84,n/.a,17.98,74.38,132.0,1:19.77,Lightweight Cruiser,,,,,
MyRoad 700i,1/14,$9699,I-2,CVT,39.8,36.2,665,43.22,98,8.34,n/.a,15.99,84.16,132.0,1:16.71,Maxi-Scooter,,,,,
Lehman Storm (Kawasaki 900),1/12,"$16,195",V-2,5,46.17,51.26,869,35.0,90.7,10.44,n/.a,17.17,70.46,127.5,1:18.74,Middleweight Trike,,,,,
Moto Guzzi Breva V750ie,4/04,$7790,V-2,5,39.3,36.7,448,41.1,108,5.76,n/.a,14.10,92.30,122.0,1:11.40,Middleweight Standard,,,,,
Nevada V750ie,4/05,$7790,V-2,5,37.1,35.1,439,40.7,101,6.08,n/.a,14.48,88.59,132.5,1:11.83,Middleweight Standard,,,,,
California,7/97,"$10,990",V-2,5,59.3,58.4,540,55.2,117,5.31,n/.a,13.52,97.61,124.0,1:9.11,Heavyweight Cruiser,,,,,
California Black Eagle,5/11,"$13,490",V-2,5,67.81,58.44,589,45.3,112.8,5.17,n/.a,13.35,99.91,117.1,1:8.68,Heavyweight Cruiser,,,,,
Breva 1100,8/06,"$12,490",V-2,6,69.7,54.1,562,45.4,129,5.14,12.33,13.10,106.20,127.7,1:8.06,Open Standard,,,,,
Griso 1100,12/06,"$13,490",V-2,6,74.2,57.85,543,39.6,129,4.22,11.53,12.45,106.57,126.9,1:7.32,Open Standard,,,,,
V7 Classic,11/09,$8790,V-2,5,38.68,36.38,443.5,46.0,104.5,6.23,n/.a,14.57,88.58,128.1,1:11.82,Middleweight Standard,,,,,
V7 Racer,3/13,$9990,V-2,5,39.47,40.55,442.5,51.1,101.3,6.02,n/.a,14.29,89.71,134.4,1:11.21,Middleweight Sportbike,,,,,
V11 Sport TT,9/01,"$12,190",V-2,6,75.4,60.8,524,34.5,142,4.01,9.80,12.00,112.53,126.0,1:6.95,Open Standard,,,,,
V11EV,9/99,"$11,770",V-2,5,60.1,57.3,605,44.9,120,5.67,n/.a,13.98,93.84,129.3,1:10.07,Heavyweight Cruiser,,,,,
Griso 1200 8V,5/09,"$14,290",V-2,6,94.75,71.3,547.5,34.2,143.95,3.61,8.44,11.51,116.00,116.3,1:5.78,Open Standard,,,,,
Breva 1200 Sport,6/08,"$13,590",V-2,6,72.2,61.9,555,43.3,131,3.87,10.74,12.11,108.11,119.4,1:7.62,Open Sportbike,,,,,
Norge 1200,6/07,"$14,990",V-2,6,71.2,59.2,617,44.1,124,4.10,12.00,12.42,104.73,120,1:8.67,Open Sport-Tourer,,,,,
Stelvio ABS,2/10,"$15,990",V-2,6,88.01,74.17,612,35.5,130.7,3.91,10.48,11.94,111.20,120.79,1:6.92,Adventure-Tourer,,,,,
Stelvio NTX ABS,7/12,"$15,990",V-2,6,90.63,70.86,666,38.0,127,4.05,9.84,12.06,111.75,117.6,1:7.35,Adventure-Tourer,,,,,
California 1400 Custom,9/13,"$14,990",V-2,6,83.6,73,667,30.0,123.1,5.05,13.0,13.3,100.9,119.8,1:7.95,Heavyweight Cruiser,,,,,
MuZ Baghira,6/98,$7799,1,5,40.9,36.0,384,42.7,102,5.22,n/.a,13.68,91.94,124.8,1:9.39,Middleweight Dual-Sport,,,,,
Skorpion Sport Cup,6/98,$7195,1,5,41.8,37.6,424,40.7,113,5.76,n/.a,14.03,91.34,113.7,1:10.14,Middleweight Sportbike,,,,,
1000S,1/05,"$10,995",I-2,6,101.9,61.2,515,31.6,147,3.03,7.54,10.97,119.55,116.8,1:5.05,Open Sportbike,,,,,
MV Agusta F4 Senna,10/02,"$24,995",I-4,6,116.7,53.3,481,33.4,171,3.50,6.85,10.85,131.85,122.3,1:4.12,Open Sportbike,,,,,
Brutale 800 EAS,2/14,"$12,498",I-3,6,115.35,55.11,410,34.4,141.75,3.75,7.17,11.1,127.11,125.5,1:3.55,Middleweight Naked,,,,,
Brutale 910,1/07,"$14,995",I-4,6,115.5,62.2,463.5,32.0,156,3.24,6.63,10.67,129.47,123.6,1:4.01,Open Naked,,,,,
Brutale 1090RR,7/10,"$18,000",I-4,6,121.08,71.85,470.5,30.3,153.5,2.99,6.29,10.50,130.98,115.1,1:3.89,Open Naked,,,,,
Piaggio MP3 500 Scooter,5/08,$8899,1,CVT,30.0,26.0,576.5,44.0,92.3,9.24,n/.a,16.57,78.87,131.5,1:19.22,Maxi-Scooter,,,,,
Royal Enfield Bullet C5,4/10,$6395,1,5,19.86,26.61,418.5,57.7,79.7,11.41,n/.a,17.36,71.38,135.86,1:20.9,Middleweight Standard,,,,,
Suzuki DR200SE,11/10,$4199,1,5,13.29,9.55,276.5,63.8,71.5,18.37,13.62,n/.a,66.67,160.37,1:20.01,Lightweight Dual-Sport,,,,,
GZ250,9/99,$2899,1,5,17.2,24.9,334,49.7,78,12.64,n/.a,17.96,66.87,123.8,1:19.42,Lightweight Cruiser,,,,,
TU250X,8/09,$3799,1,5,15.62,12.0,329,57.9,72.7,12.49,n/.a,17.88,69.61,134.1,1:21.06,Lightweight Standard,,,,,
DR-Z400SM,7/05,$6099,1,5,33.4,25.6,319,44.4,94,5.45,n/.a,13.66,88.32,137.4,1:9.55,Middleweight Supermoto,,,,,
DR-Z400S,6/10,$6099,1,5,32.35,23.79,320,54.3,90,6.47,n/.a,14.93,82.08,129.7,1:9.89,Middleweight Dual-Sport,,,,,
GS500F,7/04,$4999,I-2,6,38.1,25.6,443,48.0,99,6.05,n/.a,14.67,88.30,124.2,1:11.63,Middleweight Sportbike,,,,,
