hex,total
ID2921,0
ID2922,0
ID2923,48
ID2924,35
ID2925,0
ID2926,0
ID2927,0
ID2928,98
ID2929,0
ID2930,0
ID2931,0
ID2932,0
ID2933,0
ID2934,0
ID2935,0
ID2936,0
ID2937,0
ID2938,0
ID2939,0
ID2940,0
ID3003,0
ID3004,0
ID3005,1
ID3006,0
ID3007,0
ID3008,0
ID3009,0
ID3010,0
ID3011,0
ID3012,0
ID3013,0
ID3014,0
ID3015,0
ID3016,0
ID3017,0
ID3018,0
ID3019,0
ID3020,0
ID3021,0
ID3022,0
ID3023,0
ID3024,0
ID3087,3
ID3088,2
ID3089,215
ID3090,0
ID3091,0
ID3092,0
ID3093,0
ID3094,0
ID3095,0
ID3096,0
ID3097,0
ID3098,0
ID3099,0
ID3100,0
ID3101,0
ID3102,5
ID3103,0
ID3104,0
ID3105,0
ID3106,2
ID3107,0
ID3108,0
ID3168,2
ID3169,8
ID3170,0
ID3171,0
ID3172,0
ID3173,0
ID3174,1
ID3175,2
ID3176,4
ID3177,0
ID3178,0
ID3179,0
ID3180,0
ID3181,0
ID3182,0
ID3183,0
ID3184,0
ID3185,0
ID3186,2
ID3187,0
ID3188,0
ID3242,0
ID3243,1
ID3244,0
ID3245,0
ID3246,1
ID3247,0
ID3248,0
ID3249,0
ID3250,0
ID3251,0
ID3252,0
ID3253,0
ID3254,0
ID3255,0
ID3256,0
ID3257,0
ID3258,0
ID3259,0
ID3260,33
ID3261,7
ID3320,3
ID3321,1
ID3322,0
ID3323,0
ID3324,0
ID3325,1
ID3326,0
ID3327,0
ID3328,0
ID3329,0
ID3330,0
ID3331,0
ID3332,730
ID3333,0
ID3334,0
ID3335,0
ID3336,319
ID3337,40
ID3338,178
ID3399,942
ID3400,837
ID3401,3
ID3402,2
ID3403,0
ID3404,2729
ID3405,0
ID3406,0
ID3407,0
ID3408,0
ID3409,0
ID3410,0
ID3411,0
ID3412,0
ID3413,3
ID3414,0
ID3415,25
ID3416,342
ID3481,1
ID3482,534
ID3483,15
ID3484,11
ID3485,0
ID3486,1
ID3487,0
ID3488,0
ID3489,0
ID3490,0
ID3491,3
ID3492,44
ID3493,0
ID3494,0
ID3495,10
ID3496,2495
ID3497,5351
ID3498,307
ID3562,95
ID3563,3516
ID3564,43
ID3565,7
ID3566,2
ID3567,8
ID3568,3
ID3569,12
ID3570,535
ID3571,7
ID3572,0
ID3573,739
ID3574,54
ID3575,0
ID3576,1
ID3577,315
ID3578,6932
ID3646,3143
ID3647,3119
ID3648,529
ID3649,14
ID3650,8
ID3651,27
ID3652,1308
ID3653,517
ID3657,0
ID3728,3486
ID3729,15495
ID3730,2217
ID3731,400
ID3732,1102
ID3733,192
ID3734,1851
ID3814,86
ID3815,9
ID3816,102
ID3817,161
