Category,Renamed Category,Item,Renamed Item,Serving Size,Color,Color2,Color3,Calories,Calories from Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron,Color2
Smoothies & Shakes,Milkshakes,Blueberry Pomegranate Smoothie (Small),Soda 15 (Regular),354,#664a96,#CCEBC5,#7F3B08,8.8,0.571,0.769,0,0,1.667,1.667,13.333,10,122.222,2.941,0,1.667,7.5,0,#CCEBC5
Smoothies & Shakes,Milkshakes,Strawberry Banana Smoothie (Small),Soda 16 (Regular),354,#5be3ab,#D95F02,#FEE0B6,8.4,0.571,0.769,0,0,1.667,2.083,12.533,10,122.222,4.412,0,45,10,0,#D95F02
Smoothies & Shakes,Milkshakes,Mango Pineapple Smoothie (Small),Soda 17 (Regular),354,#36305d,#FB9A99,#543005,8.4,0.571,0.769,0,0,1.667,1.667,13.333,3.333,127.778,2.941,36,30,10,0,#FB9A99
Smoothies & Shakes,Milkshakes,Vanilla Shake (Small),Soda 18 (Regular),354,#dfd185,#A6D854,#542788,21.2,16,23.077,40,50,20,6.667,22.933,0,175,16.176,24,0,50,0,#A6D854
Smoothies & Shakes,Milkshakes,Strawberry Shake (Small),Soda 19 (Regular),354,#232a3c,#FFFFCC,#2D004B,22,17.143,24.615,40,50,20,6.667,24,0,219.444,17.647,24,0,50,0,#FFFFCC
Smoothies & Shakes,Milkshakes,Chocolate Shake (Small),Soda 20 (Regular),354,#cf6f27,#BEBADA,#35978F,22.4,17.143,24.615,40,50,20,10,24.267,3.333,213.889,17.647,24,0,50,16.667,#BEBADA
Beverages,Soda,Coca-Cola Classic (Large),Soda 1 (Large),887,#6de1ca,#CCCCCC,#C51B7D,11.2,0,0,0,0,0,0.208,20.267,0,211.111,0,0,0,0,0,#CCCCCC
Beverages,Soda,Dr Pepper (Large),Soda 2 (Large),887,#6f481d,#FF7F00,#7FBC41,10.8,0,0,0,0,0,3.75,19.2,0,194.444,0,0,0,0,0,#FF7F00
Beverages,Soda,Sprite (Large),Soda 3 (Large),887,#89dde9,#BC80BD,#B2ABD2,11.2,0,0,0,0,0,2.5,19.733,0,205.556,0,0,0,0,0,#BC80BD
Beverages,Drinks,Minute Maid Orange Juice (Large),Soda 4 (Large),650,#948729,#FC8D62,#FDE0EF,11.2,0,0,0,0,0,0.208,17.333,0,161.111,5.882,0,360,5,0,#FC8D62
Coffee & Tea,Coffee & Tea,Sweet Tea (Large),Soda 5 (Large),887,#8d81c5,#FB8072,#01665E,8.8,0,0,0,0,0,0.417,14.4,0,150,1.471,0,0,0,0,#FB8072
Coffee & Tea,Coffee & Tea,Latte (Large),Soda 6 (Large),591,#90a85a,#FFFF33,#D8DAEB,11.2,13.714,21.538,32,0,13.333,7.5,6.4,3.333,55.556,22.059,18,0,62.5,0,#FFFF33
Coffee & Tea,Coffee & Tea,Caramel Latte (Large),Soda 7 (Large),591,#c9a9ea,#984EA3,#B35806,17.2,13.714,21.538,32,0,13.333,7.5,16.533,3.333,163.889,22.059,18,0,62.5,0,#984EA3
Coffee & Tea,Coffee & Tea,Hazelnut Latte (Large),Soda 8 (Large),591,#425d25,#E31A1C,#B8E186,17.2,13.714,21.538,32,0,13.333,7.5,16.533,3.333,161.111,22.059,18,0,62.5,0,#E31A1C
Coffee & Tea,Coffee & Tea,French Vanilla Latte (Large),Soda 9 (Large),591,#b0b2ce,#377EB8,#5AAE61,16.8,13.714,21.538,32,0,13.333,7.917,16,3.333,155.556,22.059,18,0,62.5,0,#377EB8
Coffee & Tea,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),Soda 10 (Large),591,#2d341f,#BEAED4,#F1B6DA,13.2,13.714,21.538,32,0,13.333,10,9.867,6.667,55.556,22.059,18,0,62.5,0,#BEAED4
Coffee & Tea,Coffee & Tea,Mocha (Large),Soda 11 (Large),591,#c6d4b6,#E7298A,#C2A5CF,20,17.143,26.154,40,25,16.667,10,19.2,6.667,175,23.529,18,0,62.5,16.667,#E7298A
Coffee & Tea,Coffee & Tea,Mocha with Nonfat Milk (Large),Soda 12 (Large),591,#55608b,#FFFF99,#F5F5F5,15.6,4,6.154,10,0,6.667,10,19.467,6.667,177.778,25,24,0,62.5,16.667,#FFFF99
Coffee & Tea,Coffee & Tea,Caramel Mocha (Large),Soda 13 (Large),591,#e3ac7c,#E6AB02,#DE77AE,19.2,17.143,26.154,40,25,16.667,11.25,17.6,3.333,166.667,23.529,18,0,62.5,0,#E6AB02
Coffee & Tea,Coffee & Tea,Hot Chocolate (Large),Soda 14 (Large),591,#496f84,#80B1D3,#276419,21.6,20.571,30.769,48,25,20,11.667,19.467,3.333,188.889,25,24,0,75,16.667,#80B1D3
Smoothies & Shakes,Milkshakes,Blueberry Pomegranate Smoothie (Large),Soda 15 (Large),650,#a47b4e,#BF5B17,#C7EAE5,13.6,1.143,1.538,2,0,1.667,2.708,21.067,16.667,194.444,5.882,0,5,12.5,0,#BF5B17
Smoothies & Shakes,Milkshakes,Strawberry Banana Smoothie (Large),Soda 16 (Large),650,#459f9e,#66C2A5,#BF812D,13.2,1.143,1.538,2,0,1.667,3.333,19.733,13.333,194.444,7.353,0,66.667,12.5,0,#66C2A5
Smoothies & Shakes,Milkshakes,Mango Pineapple Smoothie (Large),Soda 17 (Large),650,#7f8567,#B15928,#E08214,13.6,1.143,1.538,2,0,1.667,2.5,20.8,6.667,200,5.882,60,45,12.5,0,#B15928
Smoothies & Shakes,Milkshakes,Vanilla Shake (Large),Soda 18 (Large),650,#80b0ba,#F2F2F2,#80CDC1,32.8,24,35.385,60,50,30,10.833,36,0,280.556,26.471,36,0,75,0,#F2F2F2
Smoothies & Shakes,Milkshakes,Strawberry Shake (Large),Soda 19 (Large),650,#4fa171,#F1E2CC,#FDB863,34,24,36.923,60,50,30,10.833,37.333,0,341.667,26.471,36,0,87.5,0,#F1E2CC
Smoothies & Shakes,Milkshakes,Chocolate Shake (Large),Soda 20 (Large),650,#396456,#1B9E77,#A6DBA0,34,24,35.385,60,50,28.333,15.833,37.6,6.667,333.333,27.941,36,0,75,33.333,#1B9E77
